Name,Species,Grade,"Bending, fb","Longitudinal shear, fv","Parallel to grain, fc","Perpendicular to grain, fcp","Tension parallel to grain, ft",E,E05
D.Fir SS,Douglas Fir-Larch,SS,16.5,1.9,19,7,10.6,12500,8500
D.Fir No. 1/No. 2,Douglas Fir-Larch,No. 1/No. 2,10,1.9,14,7,5.8,11000,7000
D.Fir  No. 3/Stud,Douglas Fir-Larch,No. 3/Stud,4.6,1.9,7.3,7,2.1,10000,5500
Hem-Fir L. SS,Hem-Fir,SS,16,1.6,17.6,4.6,9.7,12000,8500
Hem-Fir L. No. 1/No. 2,Hem-Fir,No. 1/No. 2,11,1.6,14.8,4.6,6.2,11000,7500
Hem-FirL. No. 3/Stud,Hem-Fir,No. 3/Stud,7,1.6,9.2,4.6,3.2,10000,6000
SPF. SS,Spruce-Pine-Fir,SS,16.5,1.5,14.5,5.3,8.6,10500,7500
SPF No. 1/No. 2,Spruce-Pine-Fir,No. 1/No. 2,11.8,1.5,11.5,5.3,5.5,9500,6500
SPF. No. 3/Stud,Spruce-Pine-Fir,No. 3/Stud,7,1.5,9,5.3,3.2,9000,5500
Northern SS,Northern Species,SS,10.6,1.3,13,3.5,6.2,7500,5500
Northern No. 1/No. 2,Northern Species,No. 1/No. 2,7.6,1.3,10.4,3.5,4,7000,5000
Northern. No. 3/Stud,Northern Species,No. 3/Stud,4.5,1.3,5.2,3.5,2,6500,4000
